Test ID,Platform,Category,Test Name,Status,Duration (s),Executed By,Timestamp
TC-0001,Web (Selenium),Authentication,Verify Authentication functionality - Case 001,PASS,1.87,Automated Runner,2026-07-27 09:25:43
TC-0002,Web (Selenium),Reminders & Notifications,Verify Reminders & Notifications functionality - Case 002,PASS,1.89,Automated Runner,2026-07-27 09:10:43
TC-0003,Performance (JMeter),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 003,PASS,1.11,Automated Runner,2026-07-27 09:26:43
TC-0004,Mobile (Android/Appium),NeonDB Operations,Verify NeonDB Operations functionality - Case 004,SKIP,2.48,Automated Runner,2026-07-27 09:24:43
TC-0005,API (PyTest),Authentication,Verify Authentication functionality - Case 005,PASS,0.76,Automated Runner,2026-07-27 08:35:43
TC-0006,Mobile (Android/Appium),Backend API Integration,Verify Backend API Integration functionality - Case 006,PASS,1.98,Automated Runner,2026-07-27 09:32:43
TC-0007,Performance (JMeter),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 007,PASS,3.53,Automated Runner,2026-07-27 10:09:43
TC-0008,API (PyTest),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 008,PASS,4.29,Automated Runner,2026-07-27 09:25:43
TC-0009,Performance (JMeter),NeonDB Operations,Verify NeonDB Operations functionality - Case 009,PASS,2.09,Automated Runner,2026-07-27 08:59:43
TC-0010,API (PyTest),User Profile,Verify User Profile functionality - Case 010,PASS,0.32,Automated Runner,2026-07-27 08:54:43
TC-0011,Performance (JMeter),Backend API Integration,Verify Backend API Integration functionality - Case 011,PASS,1.24,Automated Runner,2026-07-27 10:23:43
TC-0012,API (PyTest),Workout & Gym Tracking,Verify Workout & Gym Tracking functionality - Case 012,PASS,2.3,Automated Runner,2026-07-27 10:19:43
TC-0013,Web (Selenium),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 013,PASS,3.74,Automated Runner,2026-07-27 09:55:43
TC-0014,Web (Selenium),UI/UX Accessibility,Verify UI/UX Accessibility functionality - Case 014,PASS,3.77,Automated Runner,2026-07-27 08:41:43
TC-0015,Performance (JMeter),UI/UX Accessibility,Verify UI/UX Accessibility functionality - Case 015,PASS,1.81,Automated Runner,2026-07-27 10:33:43
TC-0016,Performance (JMeter),Backend API Integration,Verify Backend API Integration functionality - Case 016,PASS,2.49,Automated Runner,2026-07-27 09:08:43
TC-0017,Mobile (Android/Appium),User Profile,Verify User Profile functionality - Case 017,SKIP,4.29,Automated Runner,2026-07-27 10:25:43
TC-0018,Mobile (Android/Appium),User Profile,Verify User Profile functionality - Case 018,PASS,0.4,Automated Runner,2026-07-27 08:38:43
TC-0019,Performance (JMeter),Reminders & Notifications,Verify Reminders & Notifications functionality - Case 019,PASS,0.27,Automated Runner,2026-07-27 09:57:43
TC-0020,Mobile (Android/Appium),Reminders & Notifications,Verify Reminders & Notifications functionality - Case 020,PASS,3.42,Automated Runner,2026-07-27 09:01:43
TC-0021,Mobile (Android/Appium),NeonDB Operations,Verify NeonDB Operations functionality - Case 021,PASS,1.12,Automated Runner,2026-07-27 09:42:43
TC-0022,Mobile (Android/Appium),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 022,PASS,1.91,Automated Runner,2026-07-27 09:01:43
TC-0023,API (PyTest),User Profile,Verify User Profile functionality - Case 023,PASS,2.75,Automated Runner,2026-07-27 10:03:43
TC-0024,API (PyTest),Reminders & Notifications,Verify Reminders & Notifications functionality - Case 024,PASS,1.8,Automated Runner,2026-07-27 09:20:43
TC-0025,API (PyTest),User Profile,Verify User Profile functionality - Case 025,SKIP,3.77,Automated Runner,2026-07-27 08:51:43
TC-0026,Performance (JMeter),Backend API Integration,Verify Backend API Integration functionality - Case 026,PASS,2.44,Automated Runner,2026-07-27 09:32:43
TC-0027,API (PyTest),NeonDB Operations,Verify NeonDB Operations functionality - Case 027,PASS,3.09,Automated Runner,2026-07-27 09:25:43
TC-0028,Performance (JMeter),Backend API Integration,Verify Backend API Integration functionality - Case 028,SKIP,3.57,Automated Runner,2026-07-27 10:12:43
TC-0029,API (PyTest),User Profile,Verify User Profile functionality - Case 029,PASS,4.33,Automated Runner,2026-07-27 08:48:43
TC-0030,Web (Selenium),Reminders & Notifications,Verify Reminders & Notifications functionality - Case 030,PASS,2.81,Automated Runner,2026-07-27 09:58:43
TC-0031,Web (Selenium),Workout & Gym Tracking,Verify Workout & Gym Tracking functionality - Case 031,PASS,1.95,Automated Runner,2026-07-27 09:29:43
TC-0032,Mobile (Android/Appium),Authentication,Verify Authentication functionality - Case 032,SKIP,3.29,Automated Runner,2026-07-27 10:12:43
TC-0033,Performance (JMeter),User Profile,Verify User Profile functionality - Case 033,PASS,3.03,Automated Runner,2026-07-27 09:45:43
TC-0034,Mobile (Android/Appium),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 034,PASS,2.6,Automated Runner,2026-07-27 10:20:43
TC-0035,Web (Selenium),Authentication,Verify Authentication functionality - Case 035,PASS,3.34,Automated Runner,2026-07-27 09:22:43
TC-0036,API (PyTest),NeonDB Operations,Verify NeonDB Operations functionality - Case 036,PASS,3.69,Automated Runner,2026-07-27 08:54:43
TC-0037,Performance (JMeter),Workout & Gym Tracking,Verify Workout & Gym Tracking functionality - Case 037,SKIP,4.35,Automated Runner,2026-07-27 10:34:43
TC-0038,Web (Selenium),Reminders & Notifications,Verify Reminders & Notifications functionality - Case 038,PASS,0.8,Automated Runner,2026-07-27 09:01:43
TC-0039,Performance (JMeter),Backend API Integration,Verify Backend API Integration functionality - Case 039,PASS,1.59,Automated Runner,2026-07-27 10:10:43
TC-0040,Mobile (Android/Appium),Backend API Integration,Verify Backend API Integration functionality - Case 040,PASS,3.87,Automated Runner,2026-07-27 09:58:43
TC-0041,Web (Selenium),Reminders & Notifications,Verify Reminders & Notifications functionality - Case 041,PASS,2.54,Automated Runner,2026-07-27 10:08:43
TC-0042,Web (Selenium),NeonDB Operations,Verify NeonDB Operations functionality - Case 042,PASS,2.56,Automated Runner,2026-07-27 09:30:43
TC-0043,API (PyTest),Workout & Gym Tracking,Verify Workout & Gym Tracking functionality - Case 043,PASS,0.93,Automated Runner,2026-07-27 09:15:43
TC-0044,Mobile (Android/Appium),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 044,PASS,1.07,Automated Runner,2026-07-27 09:48:43
TC-0045,API (PyTest),UI/UX Accessibility,Verify UI/UX Accessibility functionality - Case 045,PASS,1.56,Automated Runner,2026-07-27 10:14:43
TC-0046,Performance (JMeter),Workout & Gym Tracking,Verify Workout & Gym Tracking functionality - Case 046,SKIP,4.26,Automated Runner,2026-07-27 08:43:43
TC-0047,Web (Selenium),Authentication,Verify Authentication functionality - Case 047,PASS,3.18,Automated Runner,2026-07-27 08:54:43
TC-0048,Web (Selenium),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 048,PASS,0.64,Automated Runner,2026-07-27 08:46:43
TC-0049,API (PyTest),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 049,PASS,3.58,Automated Runner,2026-07-27 08:47:43
TC-0050,Performance (JMeter),Backend API Integration,Verify Backend API Integration functionality - Case 050,PASS,4.15,Automated Runner,2026-07-27 09:13:43
TC-0051,Web (Selenium),Authentication,Verify Authentication functionality - Case 051,PASS,2.13,Automated Runner,2026-07-27 09:55:43
TC-0052,API (PyTest),Workout & Gym Tracking,Verify Workout & Gym Tracking functionality - Case 052,PASS,1.16,Automated Runner,2026-07-27 08:59:43
TC-0053,Performance (JMeter),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 053,PASS,0.95,Automated Runner,2026-07-27 09:01:43
TC-0054,Web (Selenium),User Profile,Verify User Profile functionality - Case 054,PASS,1.74,Automated Runner,2026-07-27 09:38:43
TC-0055,Mobile (Android/Appium),User Profile,Verify User Profile functionality - Case 055,PASS,3.03,Automated Runner,2026-07-27 09:49:43
TC-0056,Web (Selenium),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 056,PASS,3.81,Automated Runner,2026-07-27 09:11:43
