Test ID,Platform,Category,Test Name,Status,Duration (s),Executed By,Timestamp
TC-0001,Web (Selenium),Authentication,Verify Authentication functionality - Case 001,PASS,1.87,Automated Runner,2026-07-27 09:25:43
TC-0002,Web (Selenium),Reminders & Notifications,Verify Reminders & Notifications functionality - Case 002,PASS,1.89,Automated Runner,2026-07-27 09:10:43
TC-0013,Web (Selenium),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 013,PASS,3.74,Automated Runner,2026-07-27 09:55:43
TC-0014,Web (Selenium),UI/UX Accessibility,Verify UI/UX Accessibility functionality - Case 014,PASS,3.77,Automated Runner,2026-07-27 08:41:43
TC-0030,Web (Selenium),Reminders & Notifications,Verify Reminders & Notifications functionality - Case 030,PASS,2.81,Automated Runner,2026-07-27 09:58:43
TC-0031,Web (Selenium),Workout & Gym Tracking,Verify Workout & Gym Tracking functionality - Case 031,PASS,1.95,Automated Runner,2026-07-27 09:29:43
TC-0035,Web (Selenium),Authentication,Verify Authentication functionality - Case 035,PASS,3.34,Automated Runner,2026-07-27 09:22:43
TC-0038,Web (Selenium),Reminders & Notifications,Verify Reminders & Notifications functionality - Case 038,PASS,0.8,Automated Runner,2026-07-27 09:01:43
TC-0041,Web (Selenium),Reminders & Notifications,Verify Reminders & Notifications functionality - Case 041,PASS,2.54,Automated Runner,2026-07-27 10:08:43
TC-0042,Web (Selenium),NeonDB Operations,Verify NeonDB Operations functionality - Case 042,PASS,2.56,Automated Runner,2026-07-27 09:30:43
TC-0047,Web (Selenium),Authentication,Verify Authentication functionality - Case 047,PASS,3.18,Automated Runner,2026-07-27 08:54:43
TC-0048,Web (Selenium),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 048,PASS,0.64,Automated Runner,2026-07-27 08:46:43
TC-0051,Web (Selenium),Authentication,Verify Authentication functionality - Case 051,PASS,2.13,Automated Runner,2026-07-27 09:55:43
TC-0054,Web (Selenium),User Profile,Verify User Profile functionality - Case 054,PASS,1.74,Automated Runner,2026-07-27 09:38:43
TC-0056,Web (Selenium),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 056,PASS,3.81,Automated Runner,2026-07-27 09:11:43
TC-0058,Web (Selenium),User Profile,Verify User Profile functionality - Case 058,PASS,3.85,Automated Runner,2026-07-27 08:47:43
TC-0060,Web (Selenium),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 060,PASS,3.29,Automated Runner,2026-07-27 08:53:43
TC-0063,Web (Selenium),Workout & Gym Tracking,Verify Workout & Gym Tracking functionality - Case 063,PASS,4.44,Automated Runner,2026-07-27 10:32:43
TC-0078,Web (Selenium),NeonDB Operations,Verify NeonDB Operations functionality - Case 078,PASS,3.17,Automated Runner,2026-07-27 09:52:43
TC-0079,Web (Selenium),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 079,PASS,2.55,Automated Runner,2026-07-27 10:25:43
TC-0081,Web (Selenium),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 081,PASS,3.0,Automated Runner,2026-07-27 10:31:43
TC-0084,Web (Selenium),Workout & Gym Tracking,Verify Workout & Gym Tracking functionality - Case 084,PASS,1.48,Automated Runner,2026-07-27 09:52:43
TC-0091,Web (Selenium),Authentication,Verify Authentication functionality - Case 091,PASS,1.99,Automated Runner,2026-07-27 09:13:43
TC-0097,Web (Selenium),UI/UX Accessibility,Verify UI/UX Accessibility functionality - Case 097,PASS,0.67,Automated Runner,2026-07-27 10:29:43
TC-0098,Web (Selenium),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 098,PASS,3.76,Automated Runner,2026-07-27 10:07:43
TC-0102,Web (Selenium),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 102,PASS,0.94,Automated Runner,2026-07-27 10:13:43
TC-0105,Web (Selenium),UI/UX Accessibility,Verify UI/UX Accessibility functionality - Case 105,PASS,1.71,Automated Runner,2026-07-27 08:56:43
TC-0107,Web (Selenium),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 107,PASS,2.29,Automated Runner,2026-07-27 09:38:43
TC-0108,Web (Selenium),Reminders & Notifications,Verify Reminders & Notifications functionality - Case 108,PASS,0.14,Automated Runner,2026-07-27 09:37:43
TC-0109,Web (Selenium),Authentication,Verify Authentication functionality - Case 109,PASS,4.37,Automated Runner,2026-07-27 10:30:43
TC-0110,Web (Selenium),NeonDB Operations,Verify NeonDB Operations functionality - Case 110,PASS,0.19,Automated Runner,2026-07-27 09:32:43
TC-0111,Web (Selenium),NeonDB Operations,Verify NeonDB Operations functionality - Case 111,PASS,0.77,Automated Runner,2026-07-27 09:22:43
TC-0114,Web (Selenium),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 114,PASS,0.15,Automated Runner,2026-07-27 10:20:43
TC-0115,Web (Selenium),Backend API Integration,Verify Backend API Integration functionality - Case 115,PASS,3.29,Automated Runner,2026-07-27 09:41:43
TC-0117,Web (Selenium),Reminders & Notifications,Verify Reminders & Notifications functionality - Case 117,PASS,0.47,Automated Runner,2026-07-27 09:43:43
TC-0118,Web (Selenium),NeonDB Operations,Verify NeonDB Operations functionality - Case 118,PASS,0.96,Automated Runner,2026-07-27 09:39:43
TC-0124,Web (Selenium),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 124,PASS,3.4,Automated Runner,2026-07-27 09:52:43
TC-0129,Web (Selenium),NeonDB Operations,Verify NeonDB Operations functionality - Case 129,PASS,0.1,Automated Runner,2026-07-27 08:57:43
TC-0130,Web (Selenium),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 130,PASS,1.01,Automated Runner,2026-07-27 10:31:43
TC-0133,Web (Selenium),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 133,PASS,2.66,Automated Runner,2026-07-27 09:58:43
TC-0148,Web (Selenium),Reminders & Notifications,Verify Reminders & Notifications functionality - Case 148,FAIL,4.04,Automated Runner,2026-07-27 09:22:43
TC-0149,Web (Selenium),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 149,PASS,0.3,Automated Runner,2026-07-27 10:12:43
TC-0150,Web (Selenium),Workout & Gym Tracking,Verify Workout & Gym Tracking functionality - Case 150,PASS,4.0,Automated Runner,2026-07-27 08:50:43
TC-0152,Web (Selenium),NeonDB Operations,Verify NeonDB Operations functionality - Case 152,PASS,4.38,Automated Runner,2026-07-27 08:50:43
TC-0155,Web (Selenium),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 155,PASS,3.82,Automated Runner,2026-07-27 08:37:43
TC-0163,Web (Selenium),Workout & Gym Tracking,Verify Workout & Gym Tracking functionality - Case 163,PASS,3.72,Automated Runner,2026-07-27 09:33:43
TC-0165,Web (Selenium),Authentication,Verify Authentication functionality - Case 165,PASS,2.76,Automated Runner,2026-07-27 09:10:43
TC-0166,Web (Selenium),UI/UX Accessibility,Verify UI/UX Accessibility functionality - Case 166,FAIL,3.72,Automated Runner,2026-07-27 08:44:43
TC-0179,Web (Selenium),Authentication,Verify Authentication functionality - Case 179,PASS,1.23,Automated Runner,2026-07-27 08:53:43
TC-0181,Web (Selenium),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 181,PASS,3.56,Automated Runner,2026-07-27 08:42:43
TC-0184,Web (Selenium),Workout & Gym Tracking,Verify Workout & Gym Tracking functionality - Case 184,PASS,0.53,Automated Runner,2026-07-27 08:47:43
TC-0186,Web (Selenium),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 186,PASS,0.44,Automated Runner,2026-07-27 09:49:43
TC-0191,Web (Selenium),Diet/Nutrition Tracker,Verify Diet/Nutrition Tracker functionality - Case 191,PASS,3.91,Automated Runner,2026-07-27 09:44:43
TC-0192,Web (Selenium),UI/UX Accessibility,Verify UI/UX Accessibility functionality - Case 192,PASS,2.14,Automated Runner,2026-07-27 09:48:43
TC-0193,Web (Selenium),Cloudinary Media Uploads,Verify Cloudinary Media Uploads functionality - Case 193,PASS,3.54,Automated Runner,2026-07-27 08:58:43
